prompt_token_count,system_prompt_length,temperature,is_few_shot,response_quality_score
805,170,0.8,1,6.41
674,389,1.1,0,3.11
894,1946,0.1,1,11.05
907,610,1.1,1,8.74
294,167,1.5,0,1.76
117,255,0.9,0,0.71
572,1290,0.8,1,7.52
196,591,1.2,1,6.1
630,789,1.5,1,5.93
185,1754,0.2,1,7.74
667,497,0.1,0,4.25
532,1935,1.3,0,3.84
274,392,1.3,1,6.14
207,334,1.1,0,1.29
866,965,0.4,1,8.31
13,1109,1.3,1,3.97
239,1522,1.0,1,6.95
453,182,1.1,1,7.19
283,86,1.1,0,1.05
17,1121,0.3,0,3.25
660,143,0.5,0,2.66
144,1551,0.9,1,6.63
791,1554,0.2,0,5.06
200,1852,0.3,0,2.65
644,1946,1.3,1,8.86
